error_thresh,step,n_leaves,bpp,psnr,ssim,encode_s
30,1,444,0.74853515625,40.895485823360914,0.9904332013566233,0.7143008708953857
30,2,468,0.78857421875,40.79101815530828,0.9895200865378966,0.6512069702148438
60,1,276,0.46826171875,40.7694580912401,0.9894317157759734,0.7116439342498779
60,2,243,0.4129638671875,40.71514742013616,0.9895711687899443,0.6511971950531006
100,1,228,0.38818359375,40.66827451053247,0.9886419174187264,0.7100720405578613
100,2,192,0.328125,40.67328966909019,0.9895109241876806,0.6541976928710938
150,1,168,0.2880859375,40.58623474175175,0.9885223227949824,0.7106029987335205
150,2,117,0.2027587890625,40.55397748778617,0.9901444991899313,0.649604082107544
250,1,96,0.16796875,40.58090233170754,0.9894132063897106,0.7122519016265869
250,2,78,0.137939453125,40.635096624397946,0.9902785434209681,0.6495721340179443
400,1,84,0.14794921875,40.571889726611914,0.9894963935456442,0.7120921611785889
400,2,78,0.137939453125,40.635096624397946,0.9902785434209681,0.6521186828613281
700,1,72,0.1279296875,40.287185406349415,0.9891750358762215,0.7104651927947998
700,2,81,0.1427001953125,40.35936329978132,0.9887140848241206,0.6529159545898438
1200,1,66,0.117919921875,40.338653374233246,0.9897998313425597,0.7125270366668701
1200,2,81,0.1427001953125,40.35936329978132,0.9887140848241206,0.6507761478424072
