image,mode,param,bpp,psnr,ssim,n_leaves,encode_s
camera_128,error_thresh,30,0.74853515625,40.895485823360914,0.9904332013566233,444,0.3152740001678467
camera_128,error_thresh,60,0.46826171875,40.7694580912401,0.9894317157759734,276,0.14514470100402832
camera_128,error_thresh,100,0.38818359375,40.66827451053247,0.9886419174187264,228,0.10375070571899414
camera_128,error_thresh,150,0.2880859375,40.58623474175175,0.9885223227949824,168,0.07383108139038086
camera_128,error_thresh,250,0.16796875,40.58090233170754,0.9894132063897106,96,0.03721189498901367
camera_128,error_thresh,400,0.14794921875,40.571889726611914,0.9894963935456442,84,0.03172731399536133
camera_128,error_thresh,700,0.1279296875,40.287185406349415,0.9891750358762215,72,0.027312040328979492
camera_128,rdo,0.2,0.8734130859375,40.91803158916723,0.9900660871792684,519,0.4659850597381592
camera_128,rdo,0.5,0.6131591796875,40.766601232419674,0.9897647918084795,363,0.21952295303344727
camera_128,rdo,1,0.30810546875,40.57310165444364,0.9889640763861758,180,0.1263570785522461
camera_128,rdo,2,0.2127685546875,40.467054242896424,0.9883416052255196,123,0.07612395286560059
camera_128,rdo,5,0.1427001953125,40.55312817201831,0.9894517700912244,81,0.031013965606689453
camera_128,rdo,10,0.117919921875,40.338653374233246,0.9897998313425597,66,0.020197153091430664
camera_128,rdo,20,0.1226806640625,40.44592995588772,0.9898192808058557,69,0.013326883316040039
camera_128,rdo,50,0.0926513671875,39.30861532358861,0.9846518039441721,51,0.012601852416992188
coins_128,error_thresh,30,3.69140625,31.43593328063754,0.9347058089162456,2208,0.5761137008666992
coins_128,error_thresh,60,3.020751953125,31.360292111196294,0.9300927663501355,1806,0.46720218658447266
coins_128,error_thresh,100,2.5950927734375,31.318459478812677,0.9260387652067749,1551,0.38455891609191895
coins_128,error_thresh,150,2.460205078125,31.100307232383198,0.9230203917105719,1470,0.36496710777282715
coins_128,error_thresh,250,2.10986328125,31.09841336369573,0.917474304096014,1260,0.3172428607940674
coins_128,error_thresh,400,1.8243408203125,31.156929084869894,0.9111122720692983,1089,0.27477097511291504
coins_128,error_thresh,700,1.659423828125,31.02673216171301,0.902447799449121,990,0.2422809600830078
coins_128,rdo,0.2,4.1766357421875,31.619720314763672,0.9368247566773539,2499,0.6499159336090088
coins_128,rdo,0.5,3.3658447265625,31.53059739725004,0.9337251806051362,2013,0.5294039249420166
coins_128,rdo,1,2.820556640625,31.30679689104327,0.9277032296175898,1686,0.4057440757751465
coins_128,rdo,2,2.3948974609375,31.14674279373303,0.9222813661340888,1431,0.3555257320404053
coins_128,rdo,5,1.7542724609375,31.113838638375846,0.9085267957906834,1047,0.2732408046722412
coins_128,rdo,10,1.5240478515625,31.014229693053835,0.9009501756074086,909,0.22832417488098145
coins_128,rdo,20,1.1837158203125,30.62835189297953,0.879764105957976,705,0.1973869800567627
coins_128,rdo,50,0.718505859375,29.490862459288508,0.8462846886387243,426,0.13254189491271973
